treatment,replicate,wavenumber,absorbance
trt1,rep2,1.087655E+03,8.59E-02
trt1,rep2,1.089584E+03,8.63E-02
trt1,rep2,1.091512E+03,8.68E-02
trt1,rep2,1.093441E+03,8.68E-02
trt1,rep2,1.095369E+03,8.66E-02
trt1,rep2,1.097298E+03,8.62E-02
trt1,rep2,1.099226E+03,8.58E-02
trt1,rep2,1.101155E+03,8.50E-02
trt1,rep2,1.103083E+03,8.38E-02
trt1,rep2,1.105011E+03,8.20E-02
trt1,rep2,1.106940E+03,8.01E-02
trt1,rep2,1.108868E+03,7.77E-02
trt1,rep2,1.110797E+03,7.53E-02
trt1,rep2,1.112725E+03,7.26E-02
trt1,rep2,1.114654E+03,7.00E-02
trt1,rep2,1.116582E+03,6.76E-02
trt1,rep2,1.118511E+03,6.56E-02
trt1,rep2,1.120439E+03,6.37E-02
trt1,rep2,1.122368E+03,6.22E-02
trt1,rep2,1.124296E+03,6.01E-02
trt1,rep2,1.126225E+03,5.79E-02
trt1,rep2,1.128153E+03,5.56E-02
trt1,rep2,1.1trt182E+03,5.37E-02
trt1,rep2,1.132010E+03,5.20E-02
trt1,rep2,1.133938E+03,5.07E-02
trt1,rep2,1.135867E+03,4.97E-02
trt1,rep2,1.137795E+03,4.88E-02
trt1,rep2,1.139724E+03,4.83E-02
trt1,rep2,1.141652E+03,4.85E-02
trt1,rep2,1.143581E+03,4.88E-02
trt1,rep2,1.14trt29E+03,4.92E-02
trt1,rep2,1.147438E+03,4.95E-02
trt1,rep2,1.149366E+03,5.00E-02
trt1,rep2,1.151295E+03,5.05E-02
trt1,rep2,1.153223E+03,5.08E-02
trt1,rep2,1.155152E+03,5.09E-02
trt1,rep2,1.157080E+03,5.09E-02
trt1,rep2,1.159009E+03,5.06E-02
trt1,rep2,1.160937E+03,4.98E-02
trt1,rep2,1.162865E+03,4.84E-02
trt1,rep2,1.164794E+03,4.69E-02
trt1,rep2,1.166722E+03,4.51E-02
trt1,rep2,1.168651E+03,4.33E-02
trt1,rep2,1.170579E+03,4.14E-02
trt1,rep2,1.172508E+03,3.95E-02
trt1,rep2,1.174436E+03,3.79E-02
