treatment,replicate,wavenumber,absorbance
trt1,rep1,1.162915E+03,7.75E-02
trt1,rep1,1.164843E+03,7.60E-02
trt1,rep1,1.166772E+03,7.43E-02
trt1,rep1,1.168700E+03,7.24E-02
trt1,rep1,1.170629E+03,7.07E-02
trt1,rep1,1.172557E+03,6.91E-02
trt1,rep1,1.174486E+03,6.76E-02
trt1,rep1,1.176414E+03,6.63E-02
trt1,rep1,1.178343E+03,6.52E-02
trt1,rep1,1.180271E+03,6.45E-02
trt1,rep1,1.182200E+03,6.39E-02
trt1,rep1,1.184129E+03,6.36E-02
trt1,rep1,1.186057E+03,6.35E-02
trt1,rep1,1.187986E+03,6.38E-02
trt1,rep1,1.189914E+03,6.41E-02
trt1,rep1,1.191843E+03,6.45E-02
trt1,rep1,1.193771E+03,6.49E-02
trt1,rep1,1.195700E+03,6.51E-02
trt1,rep1,1.197628E+03,6.52E-02
trt1,rep1,1.199557E+03,6.51E-02
trt1,rep1,1.201485E+03,6.47E-02
trt1,rep1,1.203414E+03,6.41E-02
trt1,rep1,1.205343E+03,6.32E-02
trt1,rep1,1.207271E+03,6.23E-02
trt1,rep1,1.209200E+03,6.14E-02
trt1,rep1,1.211128E+03,6.08E-02
trt1,rep1,1.213057E+03,6.03E-02
trt1,rep1,1.214985E+03,6.00E-02
trt1,rep1,1.216914E+03,5.99E-02
trt1,rep1,1.218842E+03,5.99E-02
trt1,rep1,1.220771E+03,6.00E-02
trt1,rep1,1.222700E+03,6.02E-02
trt1,rep1,1.224628E+03,6.04E-02
trt1,rep1,1.226557E+03,6.06E-02
trt1,rep1,1.228485E+03,6.07E-02
trt1,rep1,1.230414E+03,6.09E-02
trt1,rep1,1.232342E+03,6.09E-02
trt1,rep1,1.234271E+03,6.08E-02
trt1,rep1,1.236199E+03,6.06E-02
trt1,rep1,1.238128E+03,6.05E-02
trt1,rep1,1.240057E+03,6.03E-02
trt1,rep1,1.241985E+03,6.01E-02
trt1,rep1,1.243914E+03,5.98E-02
trt1,rep1,1.245842E+03,5.96E-02
trt1,rep1,1.247771E+03,5.92E-02
trt1,rep1,1.249699E+03,5.88E-02
trt1,rep1,1.251628E+03,5.86E-02
trt1,rep1,1.253556E+03,5.84E-02
trt1,rep1,1.255485E+03,5.81E-02
trt1,rep1,1.257413E+03,5.79E-02
trt1,rep1,1.259342E+03,5.77E-02
trt1,rep1,1.261271E+03,5.74E-02
trt1,rep1,1.263199E+03,5.71E-02
trt1,rep1,1.265128E+03,5.69E-02
trt1,rep1,1.267056E+03,5.66E-02
trt1,rep1,1.268985E+03,5.64E-02
trt1,rep1,1.270913E+03,5.60E-02
trt1,rep1,1.272842E+03,5.58E-02
trt1,rep1,1.274770E+03,5.56E-02
trt1,rep1,1.276699E+03,5.54E-02
trt1,rep1,1.278627E+03,5.52E-02
trt1,rep1,1.280556E+03,5.51E-02
trt1,rep1,1.282484E+03,5.49E-02
trt1,rep1,1.284413E+03,5.47E-02
trt1,rep1,1.286342E+03,5.45E-02
trt1,rep1,1.288270E+03,5.44E-02
trt1,rep1,1.290199E+03,5.43E-02
trt1,rep1,1.292127E+03,5.45E-02
trt1,rep1,1.294056E+03,5.46E-02
trt1,rep1,1.295984E+03,5.48E-02
trt1,rep1,1.297913E+03,5.50E-02
trt1,rep1,1.299841E+03,5.54E-02
trt1,rep1,1.301770E+03,5.58E-02
